order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3305199,Sale,2024-02-04,#3305199,6640950116430,,2024-02-04,2024-02-09,,
#3305200,Sale,2024-02-05,#3305200,6640953491534,,2024-02-05,2024-02-10,,
#3305201,Sale,2024-02-05,#3305201,6640952672334,,2024-02-05,2024-02-09,,
#3305202,Sale,2024-02-05,#3305202,6640951263310,,2024-02-05,2024-02-09,,
#3305203,Sale,2024-02-05,#3305203,6640954146894,,2024-02-05,2024-02-08,,
#3305204,Sale,2024-02-05,#3305204,6640953000014,,2024-02-05,2024-02-09,,
#3305205,Sale,2024-02-05,#3305205,3710940938318,,2024-02-05,2024-02-09,,
#3305206,Sale,2024-02-05,#3305206,6640953819214,,2024-02-05,2024-02-08,,
#3305208,Sale,2024-02-05,#3305208,6640954245198,,2024-02-05,2024-02-08,,
#3305210,Sale,2024-02-05,#3305210,6640954703950,,2024-02-05,2024-02-10,,
#3305211,Sale,2024-02-05,#3305211,6640955064398,,2024-02-05,2024-02-10,,
#3305212,Sale,2024-02-05,#3305212,6442030334030,,2024-02-05,2024-02-10,,
#3305213,Sale,2024-02-05,#3305213,6640955162702,,2024-02-05,2024-02-10,,
#3305214,Sale,2024-02-05,#3305214,5920479215694,,2024-02-05,2024-02-16,,
#3305215,Sale,2024-02-05,#3305215,6640955424846,,2024-02-05,2024-02-10,,
#3305216,Sale,2024-02-05,#3305216,6640956899406,,2024-02-05,2024-02-10,,
#3305217,Sale,2024-02-05,#3305217,6640957063246,,2024-02-05,2024-02-10,,
#3305218,Sale,2024-02-05,#3305218,6640953557070,,2024-02-05,2024-02-09,,
#3305219,Sale,2024-02-05,#3305219,6640956768334,,2024-02-05,,,
#3305220,Sale,2024-02-05,#3305220,5063361822798,,2024-02-05,2024-02-09,,
#3305221,Sale,2024-02-05,#3305221,6640956702798,,2024-02-05,2024-02-09,,
#3305222,Sale,2024-02-05,#3305222,6639164391502,,2024-02-05,2024-02-10,,
#3305223,Sale,2024-02-05,#3305223,6640958505038,,2024-02-05,2024-02-10,,
#3305224,Sale,2024-02-05,#3305224,6640952934478,,2024-02-05,2024-02-09,,
#3305225,Sale,2024-02-05,#3305225,5243148894286,,2024-02-05,2024-02-13,,
#3305226,Sale,2024-02-05,#3305226,6640957947982,,2024-02-05,,,
#3305227,Sale,2024-02-05,#3305227,6640958767182,,2024-02-05,2024-02-13,,
#3305228,Sale,2024-02-05,#3305228,6640957259854,,2024-02-05,2024-02-09,,
#3305229,Sale,2024-02-05,#3305229,6640957390926,,2024-02-05,2024-02-21,,
#3305230,Sale,2024-02-06,#3305230,6640958832718,,2024-02-06,2024-02-10,,
#3305231,Sale,2024-02-06,#3305231,6640959225934,,2024-02-06,2024-02-11,,
#3305232,Sale,2024-02-06,#3305232,6640959193166,,2024-02-06,2024-02-11,,
#3305233,Sale,2024-02-06,#3305233,6640956080206,,2024-02-06,2024-02-10,,
#3305234,Sale,2024-02-06,#3305234,6640960471118,,2024-02-06,2024-02-10,,
#3305235,Sale,2024-02-06,#3305235,6640960864334,,2024-02-06,2024-02-09,,
#3305236,Sale,2024-02-06,#3305236,6622472372302,,2024-02-06,,,
#3305237,Sale,2024-02-06,#3305237,6640961159246,,2024-02-06,2024-02-11,,
#3305238,Sale,2024-02-06,#3305238,6640961486926,,2024-02-06,2024-02-09,,
#3305239,Sale,2024-02-06,#3305239,6455624794190,,2024-02-06,2024-02-10,,
#3305240,Sale,2024-02-06,#3305240,6640962142286,,2024-02-06,2024-02-10,,
#3305241,Sale,2024-02-06,#3305241,6640962404430,,2024-02-06,2024-02-09,,
#3305242,Sale,2024-02-06,#3305242,6640962568270,,2024-02-06,2024-02-14,,
#3305243,Sale,2024-02-06,#3305243,6640963125326,,2024-02-06,2024-02-14,,
#3305244,Sale,2024-02-06,#3305244,6640963453006,,2024-02-06,2024-02-10,,
#3305245,Sale,2024-02-06,#3305245,5354403266638,,2024-02-06,2024-02-11,,
#3305246,Sale,2024-02-06,#3305246,6640961323086,,2024-02-06,2024-02-10,,
#3305247,Sale,2024-02-06,#3305247,6639823257678,,2024-02-06,2024-02-11,,
#3305248,Sale,2024-02-06,#3305248,6640962961486,,2024-02-06,2024-02-14,,
